Reference, Quantity, Value, Footprint, Datasheet, Voltage, Precision
C101 C102 C103 C202 C203 C205 C209 C210 C207 C304 C311 C301 C303 C305 C309 C310 C314 C315 C317 C1903 C2003 C2103 C2203 C2303 C2403 C2503 C2603 C2703 C2803 C802 C801 C502 C501 C602 C601 C702 C701 C804 C803 C902 C901 C1002 C1001 C1102 C1101 C1202 C1201 C1302 C1301 ,49,100nF,Capacitor_SMD:C_0805_2012Metric,~,,
C201 C206 C204 C208 C211 C306 C302 C308 C313 C316 C318 ,11,10uF,Capacitor_SMD:C_0805_2012Metric,~,,
C307 C312 ,2,470uF,Capacitor_SMD:CP_Elec_8x10,~,> 16V,
D301 D302 D3404 D3402 D3401 D3403 D3407 D3408 D3406 D3405 D3504 D3502 D3501 D3503 D3507 D3508 D3506 D3505 D3604 D3602 D3601 D3603 D3607 D3608 D3606 D3605 D3704 D3702 D3701 D3703 D3707 D3708 D3706 D3705 D3804 D3803 D3807 D3808 D2008 D2007 D2009 D2010 ,60,LL4148,e-Power:SOD-80,http://www.vishay.com/docs/85557/ll4148.pdf,,
D301 D302 D3404 D3402 D3401 D3403 D3407 D3408 D3406 D3405 D3504 D3502 D3501 D3503 D3507 D3508 D3506 D3505 D3604 D3602 D3601 D3603 D3607 D3608 D3606 D3605 D3704 D3702 D3701 D3703 D3707 D3708 D3706 D3705 D3804 D3803 D3807 D3808 D2008 D2007 D2009 D2010 ,42,LED,e-Power:LED_0805_1.15x1.40mm_HandSolder,,,
F1801 F1802 F1804 F1805 F1806 F1807 F1808 F1809 F1810 F1811 F1812 F1813 F1814 F1815 F1816 F1817 F1818 F1819 F1820 F1825 F1826 F1827 F1828 F1829 F1830 F1803 ,26,Fuse,e-Power:FUSE_1206_3216Metric,~,,
F301 ,1,Fuse_1206,e-Power:FUSE_1206_3216Metric,~,,
FB301 ,1,Ferrite_Bead,e-Power:FB_0603_1608Metric,~,,
H101 H102 H103 H104 ,4,MountingHole_Pad,MountingHole:MountingHole_4.3mm_M4_Pad_Via,~,,
J101 ,1,IN,e-Power:DSUB-9_Female_EdgeMount_P2.77mm, ~,60,
J102 ,1,OUT,e-Power:DSUB-9_Female_EdgeMount_P2.77mm, ~,,
J2101 ,1,TEMP_IDC_26_CONN,Connector_IDC:IDC-Header_2x13_P2.54mm_Horizontal,~,,
J401 ,1,VOLT_IDC_26_CONN,Connector_IDC:IDC-Header_2x13_P2.54mm_Horizontal,~,,
JP301 JP302 JP303 JP1904 JP1901 JP1902 JP1908 JP2004 JP2001 JP2002 JP2008 JP2104 JP2101 JP2102 JP2108 JP2204 JP2201 JP2202 JP2208 JP2304 JP2301 JP2302 JP2308 JP2404 JP2401 JP2402 JP2408 JP2504 JP2501 JP2502 JP2508 JP2604 JP2601 JP2602 JP2608 JP2704 JP2701 JP2702 JP2708 JP2804 JP2801 JP2802 JP2808 ,43,0R,e-Power:zero_ohm_resistor_0805,~,,
Q201 ,1,BC558,Package_TO_SOT_SMD:SOT-23,http://www.fairchildsemi.com/ds/BC/BC557.pdf,,
Q3404 Q3403 Q3402 Q3401 Q3504 Q3503 Q3502 Q3501 Q3604 Q3603 Q3602 Q3601 Q3704 Q3703 Q3702 Q3701 Q3804 Q3803 Q2002 Q2001 ,20,Si2302DS,Package_TO_SOT_SMD:SOT-23,https://www.vishay.com/docs/70628/70628.pdf,,
R201 R202 ,2,100R,Resistor_SMD:R_0805_2012Metric,~,,
R203 R205 R207 R204 R208 R209 R213 R214 R212 R215 R216 R217 R222 R223 R225 R228 R301 R1911 R1909 R1907 R1905 R1903 R1915 R1913 R1912 R1910 R1908 R1906 R1904 R1902 R1917 R1916 R1901 R2011 R2009 R2007 R2005 R2003 R2015 R2013 R2012 R2010 R2008 R2006 R2004 R2002 R2017 R2016 R2001 R2111 R2109 R2107 R2105 R2103 R2115 R2113 R2112 R2110 R2108 R2106 R2104 R2102 R2117 R2116 R2101 R2211 R2209 R2207 R2205 R2203 R2215 R2213 R2212 R2210 R2208 R2206 R2204 R2202 R2217 R2216 R2201 R2311 R2309 R2307 R2305 R2303 R2315 R2313 R2312 R2310 R2308 R2306 R2304 R2302 R2317 R2316 R2301 R2411 R2409 R2407 R2405 R2403 R2415 R2413 R2412 R2410 R2408 R2406 R2404 R2402 R2417 R2416 R2401 R2511 R2509 R2507 R2505 R2503 R2515 R2513 R2512 R2510 R2508 R2506 R2504 R2502 R2517 R2516 R2501 R2611 R2609 R2607 R2605 R2603 R2615 R2613 R2612 R2610 R2608 R2606 R2604 R2602 R2617 R2616 R2601 R2711 R2709 R2707 R2705 R2703 R2715 R2713 R2712 R2710 R2708 R2706 R2704 R2702 R2717 R2716 R2701 R2811 R2809 R2807 R2805 R2803 R2815 R2813 R2812 R2810 R2808 R2806 R2804 R2802 R2817 R2816 R2801 R3412 R3411 R3410 R3409 R3512 R3511 R3510 R3509 R3612 R3611 R3610 R3609 R3712 R3711 R3710 R3709 R3812 R3811 R2022 R2021 R808 R801 R508 R501 R608 R601 R708 R701 R822 R815 R908 R901 R1008 R1001 R1108 R1101 R1208 R1201 R1308 R1301 ,217,1K,Resistor_SMD:R_0805_2012Metric,~,,
