Comment,Designator,Footprint,LCSC, LCSC, Power, Precision, Voltage
"100nF","C106,C103,C101,C107,C104,C102,C108,C113,C118,C126,C125,C115,C119,C120,C121,C122,C105,C116,C117,C206,C201,C207,C204,C209,C211,C301,C306,C309,C501,C502,C503,C601,C602,C603,C701,C702,C703,C801,C802,C803,C901,C902,C903,C1001,C1002,C1003,C1101,C1102,C1103,C1201,C1202,C1203,C1301,C1302,C1303,C1401,C1402,C1403,C1501,C1502,C1503,C1601,C1602,C1603,C1801,C1901,C2001,C2101,C2201,C2301,C3101","Capacitor_SMD:C_0805_2012Metric","","C49678","","10%","50V"
"12pF","C109,C110","Capacitor_SMD:C_0805_2012Metric","","C1792","","10%","50V"
"100pF","C112,C111","Capacitor_SMD:C_0805_2012Metric","","C1790","","10%","50V"
"10uF","C114,C123,C124,C127,C205,C208,C202,C203,C210,C302","Capacitor_SMD:C_0805_2012Metric","","C15850","","",""
"220uF","C303,C307,C304,C305,C308","Capacitor_SMD:CP_Elec_10x10",""
"LED","D108,D107,D106,D105,D104,D103,D102,D101,D302,D2503,D2504,D2502,D2501,D2603,D2604,D2602,D2601,D2703,D2704,D2702,D2701,D2803,D2804,D2802,D2801,D2903,D2904,D2902,D2901,D3003,D3004,D3002,D3001","e-Power:LED_0805_1.15x1.40mm_HandSolder",""
"SS54HF","D301","e-Power:DO-214AC",""
"LL4148","D501,D502,D503,D504,D505,D506,D601,D602,D603,D604,D605,D606,D701,D702,D703,D704,D705,D706,D801,D802,D803,D804,D805,D806,D901,D902,D903,D904,D905,D906,D1001,D1002,D1003,D1004,D1005,D1006,D1101,D1102,D1103,D1104,D1105,D1106,D1201,D1202,D1203,D1204,D1205,D1206,D1301,D1302,D1303,D1304,D1305,D1306,D1401,D1402,D1403,D1404,D1405,D1406,D1501,D1502,D1503,D1504,D1505,D1506,D1601,D1602,D1603,D1604,D1605,D1606","e-Power:SOD-80","","C9808","","",""
"Fuse_1206","F301","e-Power:FUSE_1206_3216Metric",""
"Fuse","F414,F416,F420,F422,F424,F426,F425,F423,F421,F419,F417,F415,F413,F411,F409,F407,F405,F403,F401,F402,F404,F406,F408,F410,F412,F418","e-Power:FUSE_1206_3216Metric",""
"Ferrite_Bead","FB101,FB301,FB302,FB303,FB304,FB305,FB306,FB307,FB308,FB309,FB310","e-Power:FB_0805_2012Metric","","C1017","","",""
"Logo_UFRGS_Large","G101","e-Power:Logo_UFRGS_22.0x12.0mm_Mask",""
"Logo_e-Power_Large","G102","e-Power:Logo_e-Power_22.8x12.0mm_SilkS",""
"Logo_UFRGS_Large","G103","e-Power:Logo_UFRGS_22.0x12.0mm_SilkS",""
"SYM_LASER_Large","G104","Symbol:WEEE-Logo_8.4x12mm_SilkScreen",""
