Ref,Val,Package,PosX,PosY,Rot,Side
"D2501","LED","LED_0805_1.15x1.40mm_HandSolder",11.337000,-62.230000,180.000000,bottom
"D2502","LED","LED_0805_1.15x1.40mm_HandSolder",19.592000,-62.230000,180.000000,bottom
"D2503","LED","LED_0805_1.15x1.40mm_HandSolder",27.720000,-62.230000,180.000000,bottom
"D2504","LED","LED_0805_1.15x1.40mm_HandSolder",35.814000,-62.230000,180.000000,bottom
"D2601","LED","LED_0805_1.15x1.40mm_HandSolder",11.421000,-123.952000,180.000000,bottom
"D2602","LED","LED_0805_1.15x1.40mm_HandSolder",19.676000,-123.952000,180.000000,bottom
"D2603","LED","LED_0805_1.15x1.40mm_HandSolder",27.804000,-123.980000,180.000000,bottom
"D2604","LED","LED_0805_1.15x1.40mm_HandSolder",35.898000,-123.980000,180.000000,bottom
"D2701","LED","LED_0805_1.15x1.40mm_HandSolder",47.906400,-62.226200,180.000000,bottom
"D2702","LED","LED_0805_1.15x1.40mm_HandSolder",56.161400,-62.226200,180.000000,bottom
"D2703","LED","LED_0805_1.15x1.40mm_HandSolder",64.289400,-62.226200,180.000000,bottom
"D2704","LED","LED_0805_1.15x1.40mm_HandSolder",72.383400,-62.226200,180.000000,bottom
"D2801","LED","LED_0805_1.15x1.40mm_HandSolder",47.933000,-123.942000,180.000000,bottom
"D2802","LED","LED_0805_1.15x1.40mm_HandSolder",56.188000,-123.942000,180.000000,bottom
"D2803","LED","LED_0805_1.15x1.40mm_HandSolder",64.316000,-123.942000,180.000000,bottom
"D2804","LED","LED_0805_1.15x1.40mm_HandSolder",72.410000,-123.942000,180.000000,bottom
"D2901","LED","LED_0805_1.15x1.40mm_HandSolder",84.514000,-62.257000,180.000000,bottom
"D2902","LED","LED_0805_1.15x1.40mm_HandSolder",92.769000,-62.257000,180.000000,bottom
"D2903","LED","LED_0805_1.15x1.40mm_HandSolder",100.897000,-62.257000,180.000000,bottom
"D2904","LED","LED_0805_1.15x1.40mm_HandSolder",108.991000,-62.257000,180.000000,bottom
"D3001","LED","LED_0805_1.15x1.40mm_HandSolder",84.540600,-123.937600,180.000000,bottom
"D3002","LED","LED_0805_1.15x1.40mm_HandSolder",92.795600,-123.937600,180.000000,bottom
"D3003","LED","LED_0805_1.15x1.40mm_HandSolder",100.923600,-123.937600,180.000000,bottom
"D3004","LED","LED_0805_1.15x1.40mm_HandSolder",109.017600,-123.937600,180.000000,bottom
"Q2501","Si2302DS","SOT-23",9.652000,-18.542000,270.000000,bottom
"Q2502","Si2302DS","SOT-23",17.780000,-18.542000,270.000000,bottom
"Q2503","Si2302DS","SOT-23",25.908000,-18.542000,270.000000,bottom
"Q2504","Si2302DS","SOT-23",34.036000,-18.542000,270.000000,bottom
"Q2601","Si2302DS","SOT-23",9.652000,-80.518000,270.000000,bottom
"Q2602","Si2302DS","SOT-23",17.780000,-80.518000,270.000000,bottom
"Q2603","Si2302DS","SOT-23",25.908000,-80.518000,270.000000,bottom
"Q2604","Si2302DS","SOT-23",34.036000,-80.518000,270.000000,bottom
"Q2701","Si2302DS","SOT-23",46.228000,-18.542000,270.000000,bottom
"Q2702","Si2302DS","SOT-23",54.356000,-18.542000,270.000000,bottom
"Q2703","Si2302DS","SOT-23",62.484000,-18.542000,270.000000,bottom
"Q2704","Si2302DS","SOT-23",70.612000,-18.542000,270.000000,bottom
"Q2801","Si2302DS","SOT-23",46.228000,-80.518000,270.000000,bottom
"Q2802","Si2302DS","SOT-23",54.356000,-80.518000,270.000000,bottom
"Q2803","Si2302DS","SOT-23",62.484000,-80.518000,270.000000,bottom
"Q2804","Si2302DS","SOT-23",70.612000,-80.518000,270.000000,bottom
"Q2901","Si2302DS","SOT-23",82.804000,-18.542000,270.000000,bottom
"Q2902","Si2302DS","SOT-23",90.932000,-18.542000,270.000000,bottom
"Q2903","Si2302DS","SOT-23",99.060000,-18.542000,270.000000,bottom
"Q2904","Si2302DS","SOT-23",107.188000,-18.542000,270.000000,bottom
"Q3001","Si2302DS","SOT-23",82.804000,-80.518000,270.000000,bottom
"Q3002","Si2302DS","SOT-23",91.186000,-80.518000,270.000000,bottom
"Q3003","Si2302DS","SOT-23",99.060000,-80.518000,270.000000,bottom
"Q3004","Si2302DS","SOT-23",107.188000,-80.518000,270.000000,bottom
"R2501","1K","R_0805_2012Metric",6.858000,-18.542000,270.000000,bottom
"R2502","100R","R_2512_6332Metric",9.652000,-54.864000,180.000000,bottom
"R2503","100R","R_2512_6332Metric",9.652000,-50.800000,180.000000,bottom
"R2504","100R","R_2512_6332Metric",9.652000,-58.928000,180.000000,bottom
"R2505","100R","R_2512_6332Metric",9.652000,-46.736000,180.000000,bottom
"R2506","100R","R_2512_6332Metric",9.652000,-34.544000,180.000000,bottom
"R2507","100R","R_2512_6332Metric",9.652000,-42.644000,180.000000,bottom
"R2508","100R","R_2512_6332Metric",9.652000,-38.608000,180.000000,bottom
"R2509","100R","R_2512_6332Metric",9.652000,-30.480000,180.000000,bottom
"R2510","100R","R_2512_6332Metric",9.652000,-26.416000,180.000000,bottom
"R2511","100R","R_2512_6332Metric",9.652000,-22.352000,180.000000,bottom
"R2512","330R","R_0805_2012Metric",7.654000,-62.230000,0.000000,bottom
"R2513","330R","R_0805_2012Metric",31.292000,-13.578000,180.000000,bottom
"R2514","10K","R_0805_2012Metric",12.446000,-18.542000,90.000000,bottom
"R2515","1K","R_0805_2012Metric",14.986000,-18.542000,270.000000,bottom
"R2516","100R","R_2512_6332Metric",17.780000,-58.928000,180.000000,bottom
"R2517","100R","R_2512_6332Metric",17.780000,-54.864000,180.000000,bottom
"R2518","100R","R_2512_6332Metric",17.780000,-50.800000,180.000000,bottom
"R2519","100R","R_2512_6332Metric",17.780000,-46.736000,180.000000,bottom
"R2520","100R","R_2512_6332Metric",17.780000,-42.672000,180.000000,bottom
"R2521","100R","R_2512_6332Metric",17.780000,-26.388000,180.000000,bottom
"R2522","100R","R_2512_6332Metric",17.780000,-34.544000,180.000000,bottom
"R2523","100R","R_2512_6332Metric",17.780000,-38.608000,180.000000,bottom
"R2524","100R","R_2512_6332Metric",17.780000,-30.480000,180.000000,bottom
"R2525","100R","R_2512_6332Metric",17.780000,-22.352000,180.000000,bottom
"R2526","330R","R_0805_2012Metric",15.748000,-62.230000,0.000000,bottom
"R2527","330R","R_0805_2012Metric",31.292000,-11.546000,180.000000,bottom
"R2528","10K","R_0805_2012Metric",20.574000,-18.542000,90.000000,bottom
