Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,100nF,C_0805_2012Metric,188.976,-82.804,0,top
C102,100nF,C_0805_2012Metric,129.286,-96.012,0,top
C103,100nF,C_0805_2012Metric,188.976,-110.998,0,top
C104,100nF,C_0805_2012Metric,129.54,-110.236,0,top
C105,100nF,C_0805_2012Metric,184.404,-46.736,180,top
C106,100nF,C_0805_2012Metric,188.976,-97.028,0,top
C107,100nF,C_0805_2012Metric,124.714,-82.804,0,top
C108,100nF,C_0805_2012Metric,160.528,-17.653,270,top
C109,12pF,C_0805_2012Metric,150.622,-61.976,0,top
C110,12pF,C_0805_2012Metric,150.622,-65.786,0,top
C111,100pF,C_0805_2012Metric,150.622,-56.642,0,top
C112,100pF,C_0805_2012Metric,150.622,-52.832,0,top
C113,100nF,C_0805_2012Metric,145.796,-17.78,270,top
C114,10uF,C_0805_2012Metric,100.584,-132.842,270,top
C115,100nF,C_0805_2012Metric,102.87,-132.842,270,top
C116,100nF,C_0805_2012Metric,204.724,-116.9185,270,top
C117,100nF,C_0805_2012Metric,212.344,-120.904,180,top
C118,100nF,C_0805_2012Metric,131.064,-17.78,270,top
C119,100nF,C_0805_2012Metric,163.576,-52.07,0,top
C120,100nF,C_0805_2012Metric,173.99,-55.372,270,top
C121,100nF,C_0805_2012Metric,172.466,-64.008,90,top
C122,100nF,C_0805_2012Metric,185.928,-40.64,180,top
C123,10uF,C_0805_2012Metric,163.576,-50.038,0,top
C124,10uF,C_0805_2012Metric,176.022,-55.372,270,top
C125,100nF,C_0805_2012Metric,127.254,-62.738,0,top
C126,100nF,C_0805_2012Metric,128.016,-47.244,0,top
C127,10uF,C_0805_2012Metric,174.498,-64.008,90,top
C201,100nF,C_0805_2012Metric,225.679,-77.089,90,top
C202,10uF,C_0805_2012Metric,223.774,-77.089,90,top
C203,10uF,C_0805_2012Metric,220.98,-60.833,180,top
C204,100nF,C_0805_2012Metric,220.98,-58.801,180,top
C205,10uF,C_0805_2012Metric,214.376,-73.533,90,top
C206,100nF,C_0805_2012Metric,216.408,-73.533,90,top
C207,100nF,C_0805_2012Metric,211.201,-73.533,90,top
C208,10uF,C_0805_2012Metric,212.217,-66.167,90,top
C209,100nF,C_0805_2012Metric,212.979,-62.865,180,top
C210,10uF,C_0805_2012Metric,212.979,-58.928,180,top
C211,100nF,C_0805_2012Metric,210.058,-66.167,90,top
C301,100nF,C_0805_2012Metric,229.362,-9.017,0,top
C302,10uF,C_0805_2012Metric,229.362,-11.303,0,top
C303,220uF,CP_Elec_10x10,221.996,-19.558,180,top
C304,220uF,CP_Elec_10x10,221.996,-10.16,180,top
C305,220uF,CP_Elec_10x10,175.514,-19.558,0,top
C306,100nF,C_0805_2012Metric,175.514,-25.146,0,top
C307,220uF,CP_Elec_10x10,175.514,-10.16,0,top
C308,220uF,CP_Elec_10x10,175.514,-35.56,0,top
C309,100nF,C_0805_2012Metric,185.928,-38.354,180,top
C501,100nF,C_0805_2012Metric,32.06,-44.171,0,top
C502,100nF,C_0805_2012Metric,32.06,-46.203,0,top
C503,100nF,C_0805_2012Metric,32.06,-50.648,0,top
C601,100nF,C_0805_2012Metric,32.165,-18.492,0,top
C602,100nF,C_0805_2012Metric,32.165,-20.524,0,top
C603,100nF,C_0805_2012Metric,32.165,-24.969,0,top
C701,100nF,C_0805_2012Metric,32.036,-106.144,0,top
C702,100nF,C_0805_2012Metric,32.036,-108.176,0,top
C703,100nF,C_0805_2012Metric,32.036,-112.621,0,top
C801,100nF,C_0805_2012Metric,32.036,-80.4,0,top
C802,100nF,C_0805_2012Metric,32.036,-82.432,0,top
C803,100nF,C_0805_2012Metric,32.036,-86.877,0,top
C901,100nF,C_0805_2012Metric,68.535,-43.787,0,top
C902,100nF,C_0805_2012Metric,68.535,-45.819,0,top
C903,100nF,C_0805_2012Metric,68.535,-50.264,0,top
C1001,100nF,C_0805_2012Metric,68.485,-18.588,0,top
C1002,100nF,C_0805_2012Metric,68.485,-20.62,0,top
C1003,100nF,C_0805_2012Metric,68.485,-25.065,0,top
C1101,100nF,C_0805_2012Metric,68.662,-106.181,0,top
C1102,100nF,C_0805_2012Metric,68.662,-108.213,0,top
C1103,100nF,C_0805_2012Metric,68.662,-112.658,0,top
C1201,100nF,C_0805_2012Metric,68.585,-80.49,0,top
C1202,100nF,C_0805_2012Metric,68.585,-82.522,0,top
C1203,100nF,C_0805_2012Metric,68.585,-86.967,0,top
C1301,100nF,C_0805_2012Metric,105.315,-43.771,0,top
C1302,100nF,C_0805_2012Metric,105.315,-45.803,0,top
C1303,100nF,C_0805_2012Metric,105.315,-50.248,0,top
C1401,100nF,C_0805_2012Metric,105.238,-18.461,0,top
C1402,100nF,C_0805_2012Metric,105.238,-20.493,0,top
C1403,100nF,C_0805_2012Metric,105.238,-24.938,0,top
C1501,100nF,C_0805_2012Metric,105.283,-106.172,0,top
C1502,100nF,C_0805_2012Metric,105.283,-108.204,0,top
C1503,100nF,C_0805_2012Metric,105.283,-112.649,0,top
C1601,100nF,C_0805_2012Metric,105.156,-80.505,0,top
C1602,100nF,C_0805_2012Metric,105.156,-82.537,0,top
C1603,100nF,C_0805_2012Metric,105.156,-86.982,0,top
C1801,100nF,C_0805_2012Metric,144.78,-97.663,0,top
C1901,100nF,C_0805_2012Metric,144.78,-110.363,0,top
C2001,100nF,C_0805_2012Metric,144.78,-84.963,0,top
C2101,100nF,C_0805_2012Metric,168.91,-84.963,0,top
C2201,100nF,C_0805_2012Metric,168.91,-97.663,0,top
C2301,100nF,C_0805_2012Metric,168.91,-110.363,0,top
C3101,100nF,C_0805_2012Metric,202.184,-84.963,0,top
D101,LED,LED_0805_1.15x1.40mm_HandSolder,233.172,-100.076,180,top
D102,LED,LED_0805_1.15x1.40mm_HandSolder,233.172,-102.87,180,top
D103,LED,LED_0805_1.15x1.40mm_HandSolder,233.172,-105.664,180,top
D104,LED,LED_0805_1.15x1.40mm_HandSolder,233.172,-108.331,180,top
D105,LED,LED_0805_1.15x1.40mm_HandSolder,233.172,-97.282,180,top
D106,LED,LED_0805_1.15x1.40mm_HandSolder,233.172,-94.488,180,top
D107,LED,LED_0805_1.15x1.40mm_HandSolder,233.172,-91.694,180,top
D108,LED,LED_0805_1.15x1.40mm_HandSolder,233.172,-88.9,180,top
D301,SS54HF,DO-214AC,233.426,-29.718,0,top
D302,LED,LED_0805_1.15x1.40mm_HandSolder,178.562,-27.178,270,top
D501,LL4148,SOD-80,27.305,-41.021,0,top
D502,LL4148,SOD-80,21.717,-41.021,0,top
D503,LL4148,SOD-80,16.129,-41.021,0,top
D504,LL4148,SOD-80,27.305,-54.737,0,top
D505,LL4148,SOD-80,21.717,-54.737,0,top
D506,LL4148,SOD-80,16.129,-54.737,0,top
D601,LL4148,SOD-80,27.41,-15.342,0,top
D602,LL4148,SOD-80,21.822,-15.342,0,top
D603,LL4148,SOD-80,16.234,-15.342,0,top
D604,LL4148,SOD-80,27.41,-29.058,0,top
D605,LL4148,SOD-80,21.822,-29.058,0,top
D606,LL4148,SOD-80,16.234,-29.058,0,top
D701,LL4148,SOD-80,27.281,-102.994,0,top
D702,LL4148,SOD-80,21.693,-102.994,0,top
D703,LL4148,SOD-80,16.105,-102.994,0,top
