Source:,C:\Users\gabri\GoogleDrive\E-POWER\Eletronica\TSAL\TSAL - KiCad\TSAL.sch,,,,,,,,,,,
Date:,7/3/2020 1:07:26 AM,,,,,,,,,,,
Tool:,Eeschema (5.1.5)-3,,,,,,,,,,,
Generator:,C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,
Component Count:,55,,,,,,,,,,,
,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,
,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Color,Comment,Loops,Power,Size,Voltage
,,C1,100uF,Device:CP,Capacitor_THT:C_Radial_D8.0mm_H11.5mm_P3.50mm,~,,,,,,16V
,,C2,220pF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,
,,C3,100uF,Device:CP,Capacitor_THT:C_Radial_D8.0mm_H11.5mm_P3.50mm,~,,,,,,16V
,,C4,100nF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,
,,C5,1uF,Device:CP,Capacitor_THT:C_Radial_D6.3mm_H11.0mm_P2.50mm,~,,,,,,16V
,,C6,100nF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,
,,C7,100nF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,
,,D1,1N4747A,Diode:1N47xxA,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,https://www.vishay.com/docs/85816/1n4728a.pdf,,,,1.3W,,20V
,,D2,1N4747A,Diode:1N47xxA,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,https://www.vishay.com/docs/85816/1n4728a.pdf,,,,1.3W,,20V
,,D3,1N5819,Diode:1N5819,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,http://www.vishay.com/docs/88525/1n5817.pdf,,,,,,
,,D4,1N5819,Diode:1N5819,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,http://www.vishay.com/docs/88525/1n5817.pdf,,,,,,
,,D5,LED,Device:LED,LED_SMD:LED_0805_2012Metric,~,GREEN,,,,5mm,
,,D6,LED,Device:LED,LED_SMD:LED_0805_2012Metric,~,RED,,,,5mm,
,,D7,RGB LED,Device:LED_ABRG,"Connector_Phoenix_GMSTB:PhoenixContact_GMSTBA_2,5_4-G_1x04_P7.50mm_Horizontal",~,,,,50W,,
,,G1,UFRGS_1_14.7x8.0mm_Copper,e-Power:UFRGS_1_14.7x8.0mm_Copper,e-Power:UFRGS_14.7x8.0mm_Copper,,,,,,,
,,G2,e-Power_16.5x8.0mm_Copper-e-Power,TSAL-rescue:e-Power_16.5x8.0mm_Copper-e-Power-e-Power,e-Power:e-Power_16.5x8.0mm_Copper,,,,,,,
,,J1,Screw_Terminal_01x02,Connector:Screw_Terminal_01x02,"Connector_Phoenix_GMSTB:PhoenixContact_GMSTBA_2,5_2-G-7,62_1x02_P7.62mm_Horizontal",~,,Tractive System Voltage,,,,
,,K1,FINDER-32.21-x000,Relay:FINDER-32.21-x000,Relay_THT:Relay_SPDT_SANYOU_SRD_Series_Form_C,https://gfinder.findernet.com/assets/Series/355/S32EN.pdf,,,,,,
,,L1,170uH,pspice:INDUCTOR,Inductor_THT:L_Toroid_Horizontal_D28.0mm_P26.67mm_Bourns_2200,~,,,50 TURNS,,,
,,Q1,BC548,Transistor_BJT:BC548,Package_TO_SOT_THT:TO-92_Inline,http://www.fairchildsemi.com/ds/BC/BC547.pdf,,,,,,
,,Q2,IRF3205,Transistor_FET:IRF3205,Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown,http://www.irf.com/product-info/datasheets/data/irf3205.pdf,,,,,,
,,Q3,IRF3205,Transistor_FET:IRF3205,Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown,http://www.irf.com/product-info/datasheets/data/irf3205.pdf,,,,,,
,,R1,10K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,
,,R2,0.68R,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,
,,R3,4K7R,Device:R,Resistor_THT:R_Axial_DIN0617_L17.0mm_D6.0mm_P25.40mm_Horizontal,~,,,,5W,,
,,R4,4K7R,Device:R,Resistor_THT:R_Axial_DIN0617_L17.0mm_D6.0mm_P25.40mm_Horizontal,~,,,,5W,,
,,R5,4K7R,Device:R,Resistor_THT:R_Axial_DIN0617_L17.0mm_D6.0mm_P25.40mm_Horizontal,~,,,,5W,,
,,R6,4K7R,Device:R,Resistor_THT:R_Axial_DIN0617_L17.0mm_D6.0mm_P25.40mm_Horizontal,~,,,,5W,,
,,R7,100R,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,
,,R8,10K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,
,,R9,10K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,
,,R10,18K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,
,,R11,1K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,
,,R12,1K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,
,,R13,10K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,
,,R14,220K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,
,,R15,1K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,
,,R16,1K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,
,,R17,1K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,
,,R18,1K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,
,,R19,10K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,
,,R20,10K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,
,,R21,1K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,
,,R22,1K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,
,,R23,1K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,
,,R24,1K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,
,,R25,22R,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,1W,,
,,R26,27R,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,1W,,
,,R27,10K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,
,,U1,MC34063AP,Regulator_Switching:MC34063AP,Package_DIP:DIP-8_W7.62mm,http://www.onsemi.com/pub_link/Collateral/MC34063A-D.PDF,,,,,,
,,U2,TLP290-4,e-Power:TLP290-4,e-Power:TLP290-4,https://www.mouser.com/datasheet/2/408/TLP290-4-1209274.pdf,,,,,,
,,U3,LM555,Timer:LM555,Package_DIP:DIP-8_W7.62mm_LongPads,http://www.ti.com/lit/ds/symlink/lm555.pdf,,,,,,
,,U4,TL431D,Reference_Voltage:TL431D,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,http://www.ti.com/lit/ds/symlink/tl431.pdf,,,,,,
,,U5,TL431D,Reference_Voltage:TL431D,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,http://www.ti.com/lit/ds/symlink/tl431.pdf,,,,,,
,,U6,LM324A,Amplifier_Operational:LM324A,Package_DIP:DIP-14_W7.62mm_LongPads,http://www.ti.com/lit/ds/symlink/lm2902-n.pdf,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Collated Components:,,,,,,,,,,,,
,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Color,Comment,Loops,Power,Size,Voltage
1,2,"C1, C3",100uF,Device:CP,Capacitor_THT:C_Radial_D8.0mm_H11.5mm_P3.50mm,~,,,,,,16V
2,1,C2,220pF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,
3,3,"C4, C6, C7",100nF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,
4,1,C5,1uF,Device:CP,Capacitor_THT:C_Radial_D6.3mm_H11.0mm_P2.50mm,~,,,,,,16V
5,2,"D1, D2",1N4747A,Diode:1N47xxA,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,https://www.vishay.com/docs/85816/1n4728a.pdf,,,,1.3W,,20V
6,2,"D3, D4",1N5819,Diode:1N5819,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,http://www.vishay.com/docs/88525/1n5817.pdf,,,,,,
7,2,"D5, D6",LED,Device:LED,LED_SMD:LED_0805_2012Metric,~,GREEN,,,,5mm,
8,1,D7,RGB LED,Device:LED_ABRG,"Connector_Phoenix_GMSTB:PhoenixContact_GMSTBA_2,5_4-G_1x04_P7.50mm_Horizontal",~,,,,50W,,
9,1,G1,UFRGS_1_14.7x8.0mm_Copper,e-Power:UFRGS_1_14.7x8.0mm_Copper,e-Power:UFRGS_14.7x8.0mm_Copper,,,,,,,
10,1,G2,e-Power_16.5x8.0mm_Copper-e-Power,TSAL-rescue:e-Power_16.5x8.0mm_Copper-e-Power-e-Power,e-Power:e-Power_16.5x8.0mm_Copper,,,,,,,
11,1,J1,Screw_Terminal_01x02,Connector:Screw_Terminal_01x02,"Connector_Phoenix_GMSTB:PhoenixContact_GMSTBA_2,5_2-G-7,62_1x02_P7.62mm_Horizontal",~,,Tractive System Voltage,,,,
12,1,K1,FINDER-32.21-x000,Relay:FINDER-32.21-x000,Relay_THT:Relay_SPDT_SANYOU_SRD_Series_Form_C,https://gfinder.findernet.com/assets/Series/355/S32EN.pdf,,,,,,
