Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,212.0392,-65.024,270,top
C2,1uF,C_0805_2012Metric,220.2434,-69.6722,90,top
C3,220u,CP_Elec_10x10,167.132,-104.14,0,top
C4,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,192.167,-87.84,0,top
C5,220u,CP_Elec_10x10,167.132,-92.29,0,top
C6,220pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,205.232,-100.711,270,top
C7,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,160.9852,-126.8984,270,top
C8,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,152.273,-135.001,0,top
C9,10n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,152.273,-131.699,0,top
C10,220u,CP_Elec_10x10,152.1182,-123.8554,0,top
C11,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,183.717,-94.95,0,top
D1,1N4747A,DO-35_SMD,147.2692,-69.3928,0,top
D2,SS54HF,DO-214AC,186.19,-88.449,0,top
D3,1N4747A,DO-35_SMD,162.5092,-69.3928,0,top
D4,LED GREEN,LED_0603_1608Metric,182.5752,-60.6425,270,top
D5,LED RED,LED_0603_1608Metric,209.4992,-84.6455,90,top
D7,SS54HF,DO-214AC,177.74,-94.899,0,top
D8,SS54HF,DO-214AC,143.002,-133.858,270,top
F1,Fuse,FUSE_1206_3216Metric,203.708,-109.22,90,top
FB1,Ferrite_Bead,FB_0603_1608Metric,143.002,-124.714,270,top
L1,100uH,L_12x12mm_H6mm,218.6432,-109.2962,90,top
Q1,MMBT5401,SOT-23,200.107,-97.49,0,top
R3,10K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,153.2382,-114.935,90,top
R4,1K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,182.5752,-64.9605,270,top
R5,10K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,190.4492,-95.3135,270,top
R8,10K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,204.4192,-65.024,90,top
R9,1K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,209.4992,-80.645,90,top
R10,1K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,148.1328,-114.9096,270,top
R11,1K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,206.9592,-80.645,90,top
R12,100K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,181.257,-98.45,0,top
R13,100K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,176.507,-98.45,0,top
R14,1K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,180.9877,-116.5225,0,top
R15,1K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,184.8104,-126.8894,270,top
R16,ADJ,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,178.0667,-112.2045,0,top
R17,1R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,184.957,-92,0,top
R18,10R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,189.707,-92,0,top
R19,10R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,176.507,-104.35,0,top
R20,10R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,181.257,-101.4,0,top
R21,1K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,143.1036,-98.7552,90,top
R22,1R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,205.232,-117.7798,90,top
R23,100R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,210.312,-117.7798,270,top
R24,10K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,196.917,-87.84,0,top
R25,100K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,176.507,-107.3,0,top
R26,10R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,188.467,-94.95,0,top
R27,10R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,186.007,-97.9,0,top
R28,10R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,194.457,-90.79,0,top
R29,1K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,164.2237,-115.2525,180,top
R30,1K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,168.1607,-115.2525,180,top
R31,10K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,176.507,-101.4,0,top
R32,100K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,186.007,-100.85,0,top
R33,10R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,181.257,-107.3,0,top
R34,10R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,194.457,-93.74,0,top
